country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Georgia,Asia,3728282,-0.43,-16103,54,69490,-9999,2.1,37.0,63.0,0.05,0.08901364178562034,3517264.0,3728282.0,1.0599949278757579
Germany,Europe,83294633,-0.09,-75210,239,348560,155751,1.5,45.0,77.0,1.04,0.220135985084582,70964095.0,83294633.0,1.1737574191568285
Ghana,Africa,34121985,1.93,646115,150,227540,-9999,3.5,21.0,57.0,0.42,2.6446204298328504,5077596.0,34121985.0,6.720106325906984
Gibraltar,Europe,32688,0.12,39,3269,10,-24,1.8,42.0,71.56818181818181,0.0,0.5859248108540049,21402.0,32688.0,1.5273338940285954
Greece,Europe,10341277,-0.42,-43694,80,128900,5000,1.4,45.0,86.0,0.13,0.4121505648684041,7669099.0,10341277.0,1.3484344119172278
Greenland,North America,56643,0.31,177,0,410450,-100,1.9,35.0,89.0,0.0,1.2457098221279963,23119.0,56643.0,2.4500627189757345
Grenada,Latin America,126183,0.59,745,371,340,-200,2.0,32.0,32.0,0.0,0.6816382924157821,77020.0,126183.0,1.638314723448455
Guadeloupe,Latin America,395839,0.02,87,234,1690,-800,2.0,42.0,63.888888888888886,0.0,0.8435695998091184,215261.0,395839.0,1.8388793139491129
Guam,Oceania,172952,0.69,1178,320,540,-500,2.5,30.0,95.0,0.0,1.4413710817689527,60991.0,172952.0,2.835697070059517
Guatemala,Latin America,18092026,1.39,248118,169,107160,-9110,2.3,23.0,55.0,0.22,2.446950292506189,3099869.0,18092026.0,5.836384053648719
Guinea,Africa,14190612,2.39,331271,58,245720,-4000,4.2,18.0,40.0,0.18,2.1605901506430185,2983557.0,14190612.0,4.756273133042204
Guinea-Bissau,Africa,2150842,2.15,45276,76,28120,-1400,3.8,19.0,45.0,0.03,1.912997370573074,543413.0,2150842.0,3.9580245595891155
Guyana,Latin America,813834,0.63,5108,4,196850,-3900,2.3,26.0,27.0,0.01,0.9256784551475918,417719.0,813834.0,1.9482810214522204
Haiti,Latin America,11724763,1.21,139767,425,27560,-31811,2.7,23.0,60.0,0.15,1.7746196391097497,3247231.0,11724763.0,3.6106956973495263
Holy See,Europe,518,1.57,8,1295,0,0,1.4500000000000002,47.0,71.56818181818181,0.0,-0.7162310156568998,880.0,518.0,0.5886363636363636
Honduras,Latin America,10593798,1.54,160938,95,111890,-5034,2.3,24.0,58.0,0.13,2.6618119451790188,1557932.0,10593798.0,6.7999103940351695
Hong Kong,Asia,7491609,0.04,2744,7135,1050,19999,0.8,46.0,58.28888888888889,0.09,1.8483205867033001,1980524.0,7491609.0,3.782639846828415
